Kabupaten/Kota,jumlah_SD/MI,jumlah_SD/MI_SG_Massal,%jumlah_SD/MI_SG_Massal,jumlah_SD/MI_LG,%jumlah_SD/MI_LG,jumlah_murid_SD/MI_L,jumlah_murid_SD/MI_P,jumlah_murid_SD/MI_LP,jumlah_murid_SD/MI_L_Diperiksa,%jumlah_murid_SD/MI_L_Diperiksa,jumlah_murid_SD/MI_P_Diperiksa,%jumlah_murid_SD/MI_P_Diperiksa,jumlah_murid_SD/MI_LP_Diperiksa,%jumlah_murid_SD/MI_LP_Diperiksa,jumlah_murid_SD/MI_L_PR,jumlah_murid_SD/MI_P_PR,jumlah_murid_SD/MI_LP_PR,jumlah_murid_SD/MI_L_MP,%jumlah_murid_SD/MI_L_MP,jumlah_murid_SD/MI_P_MP,%jumlah_murid_SD/MI_P_MP,jumlah_murid_SD/MI_LP_MP,%jumlah_murid_SD/MI_LP_MP,tahun
Kabupaten Sukabumi,3137,659,21.0,2855,91.0,93415,89119,182534,54479,58.3,48836,54.8,103315,56.6,18213,18213,36426,8061,44.3,8279,45.5,16340,44.9,2022
Kabupaten Cianjur,1240,25,2.0,124,10.0,129865,121577,251442,1120,0.9,1360,1.1,2480,1.0,400,365,765,380,95.0,320,87.7,700,91.5,2022
Kabupaten Bandung,1601,1097,68.5,1458,91.1,202013,191490,393503,26185,13.0,25337,13.2,51522,13.1,8193,8127,16320,1402,17.1,1422,17.5,2824,17.3,2022
Kabupaten Garut,2270,467,20.6,1461,64.4,150200,184201,334401,31258,20.8,46887,25.5,78145,23.4,12673,19011,31684,2654,20.9,3982,20.9,6636,20.9,2022
Kabupaten Tasikmalaya,2736,135,4.9,1866,68.2,52605,13920,66525,2005,3.8,1250,9.0,3255,4.9,947,895,1842,687,72.5,563,62.9,1250,67.9,2022
Kabupaten Ciamis,621,342,55.1,564,90.8,46163,69243,115406,24151,52.3,36226,52.3,60377,52.3,7146,10722,17868,2718,38.0,4077,38.0,6795,38.0,2022
Kabupaten Kuningan,657,282,42.9,634,96.5,34188,32660,66848,26412,77.3,25305,77.5,51717,77.4,6874,6863,13737,2493,36.3,2682,39.1,5175,37.7,2022
Kabupaten Cirebon,1093,1033,94.5,1047,95.8,65883,58393,124276,22332,33.9,42298,72.4,64630,52.0,11533,11489,23022,5657,49.1,5682,49.5,11339,49.3,2022
Kabupaten Majalengka,762,580,76.1,752,98.7,40907,39429,80336,25157,61.5,25262,64.1,50419,62.8,4937,5015,9952,3081,62.4,3296,65.7,6377,64.1,2022
Kabupaten Sumedang,554,218,39.4,1148,526.6,37727,39390,77117,20100,53.3,19494,49.5,28154,36.5,5280,5408,10688,3005,56.9,2913,53.9,5918,55.4,2022
Kabupaten Indramayu,586,30,5.1,573,97.8,74502,75678,150180,1870,2.5,1960,2.6,3830,0.03,5844,6209,12053,241,4.1,295,4.8,536,4.4,2022
